"name","age","hometown","boarded","destination","lifeboat","body","class","home_country","Lifeboat","Destination","Boarded","survival_outcome","position","crew_type","crew","sex","age_character","household_assistant_type","household_assistant","household_assistant_to_whom"
"Beckwith, Mr. Richard Leonard",37,"New York City","Southampton","New York City","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","37",NA,"Not Assistant",NA
"Beckwith, Mrs. Sallie (née Monypeny)",46,"New York City","Southampton","New York City","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","46",NA,"Not Assistant",NA
"Behr, Mr. Karl Howell",26,"New York City","Cherbourg","New York City","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","26",NA,"Not Assistant",NA
"Birnbaum, Mr. Jakob",24,"Antwerp, Belgium","Cherbourg","San Francisco, California, US",NA,"148","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","24",NA,"Not Assistant",NA
"Bishop, Mr. Dickinson H. ""Dick""",25,"Dowagiac, Michigan, US","Cherbourg","Dowagiac, Michigan, US","7",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","25",NA,"Not Assistant",NA
"Bishop, Mrs. Helen (née Walton)",19,"Dowagiac, Michigan, US","Cherbourg","Dowagiac, Michigan, US","7",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","19",NA,"Not Assistant",NA
"Björnström-Steffanson, Mr. Mauritz Håkan",28,"Stockholm, Sweden","Southampton","Washington, D.C., US","D",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","28",NA,"Not Assistant",NA
"Blackwell, Mr. Stephen Weart",45,"Trenton, New Jersey, US","Southampton","Trenton, New Jersey, US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","45",NA,"Not Assistant",NA
"Blank, Mr. Henry",39,"Glen Ridge, New Jersey, US","Cherbourg","Glen Ridge, New Jersey, US","7",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","39",NA,"Not Assistant",NA
"Bonnell, Miss Elizabeth",61,"Youngstown, Ohio, US","Southampton","Youngstown, Ohio, US","8",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","61",NA,"Not Assistant",NA
"Bonnell, Miss Caroline",30,"Youngstown, Ohio, US","Southampton","Youngstown, Ohio, US","8",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","30",NA,"Not Assistant",NA
"Borebank, Mr. John James",42,"London, England, UK","Southampton","Toronto, Ontario, Canada",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","42",NA,"Not Assistant",NA
"Bowerman, Miss Elsie Edith",22,"St. Leonards-on-Sea, East Sussex, England, UK","Southampton","New York City","6",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","22",NA,"Not Assistant",NA
"Brady, Mr. John Bertram",41,"Pomeroy, Washington, US","Southampton","Pomeroy, Washington, US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","41",NA,"Not Assistant",NA
"Brandeis, Mr. Emil",48,"Omaha, Nebraska, US","Cherbourg","Omaha, Nebraska, US",NA,"208","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","48",NA,"Not Assistant",NA
"Brereton, Mr. George Andrew (alias George A. Brayton)",37,"Los Angeles, US","Southampton","Los Angeles, California, US","9",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","37",NA,"Not Assistant",NA
"Brewe, Dr. Arthur Jackson",45,"Philadelphia, Pennsylvania, US","Cherbourg","Philadelphia, Pennsylvania, US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","45",NA,"Not Assistant",NA
"Brown, Mrs. Caroline Lane (née Lamson)",59,"Belmont, Massachusetts, US","Southampton","Belmont, Massachusetts, US","D",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","59",NA,"Not Assistant",NA
"Brown, Mrs. Margaret (née Tobin)",44,"Denver, Colorado, US","Cherbourg","Denver, Colorado, US","6",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","44",NA,"Not Assistant",NA
"Bucknell, Mrs. Emma Eliza (née Ward)",59,"Philadelphia, Pennsylvania, US","Cherbourg","Philadelphia, Pennsylvania, US","8",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","59",NA,"Not Assistant",NA
"and maid, Miss Albina Bazzani",36,"Philadelphia, Pennsylvania, US","Cherbourg","Philadelphia, Pennsylvania, US","8",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","36","maid","Assistant","Bucknell, Mrs. Emma Eliza (née Ward)"
"Butt, Major Archibald Willingham",46,"Washington, D.C., US","Southampton","Washington, D.C., US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","46",NA,"Not Assistant",NA
"Calderhead, Mr. Edward Pennington",42,"New York City","Southampton","New York City","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","42",NA,"Not Assistant",NA
"Candee, Mrs. Helen Churchill (née Hungerford)",53,"Washington, D.C., US","Cherbourg","Washington, D.C., US","6",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","53",NA,"Not Assistant",NA
"Cardeza, Mrs. Charlotte Wardle (née Drake)",58,"Germantown, Pennsylvania, US","Cherbourg","Germantown, Pennsylvania, US","3",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","58",NA,"Not Assistant",NA
"and maid, Miss Annie Moore Ward",38,"Germantown, Pennsylvania, US","Cherbourg","Germantown, Pennsylvania, US","3",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","38","maid","Assistant","Cardeza, Mrs. Charlotte Wardle (née Drake)"
"Cardeza, Mr. Thomas Drake Martinez",36,"Germantown, Pennsylvania, US","Cherbourg","Germantown, Pennsylvania, US","3",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","36",NA,"Not Assistant",NA
"and valet, Mr. Gustave J. Lesueur",35,"Germantown, Pennsylvania, US","Cherbourg","Germantown, Pennsylvania, US","3",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","35","valet","Assistant","Cardeza, Mr. Thomas Drake Martinez"
"Carlsson, Mr. Frans Olof",33,"New York City","Southampton","New York City",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","33",NA,"Not Assistant",NA
"Carrau, Mr. Francisco M.",31,"Montevideo, Uruguay","Southampton","Montevideo, Uruguay",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","31",NA,"Not Assistant",NA
"Carrau, Mr. José Pedro",17,"Montevideo, Uruguay","Southampton","Montevideo, Uruguay",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","17",NA,"Not Assistant",NA
"Carter, Mr. William Ernest",36,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US","C",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","36",NA,"Not Assistant",NA
"and valet, Mr. Alexander Cairns",28,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","28","valet","Assistant","Carter, Mr. William Ernest"
"and chauffeur, Mr. Charles Augustus Aldworth",30,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30","chauffeur","Assistant","Carter, Mr. William Ernest"
"Carter, Mrs. Lucile (née Polk)",36,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","36",NA,"Not Assistant",NA
"and maid, Miss Auguste Serreplan",30,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","30","maid","Assistant","Carter, Mrs. Lucile (née Polk)"
"Carter, Miss Lucile Polk",13,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","13",NA,"Not Assistant",NA
"Carter, Master William Thornton II",11,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","11",NA,"Not Assistant",NA
"Case, Mr. Howard Brown",49,"Ascot, Berkshire, England, UK","Southampton","Rochester, New York, US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","49",NA,"Not Assistant",NA
"Cassebeer, Mrs. Eleanor Genevieve (née Fosdick)",36,"New York City","Cherbourg","New York City","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","36",NA,"Not Assistant",NA
"Cavendish, Mr. Tyrell William",36,"London, England, UK","Southampton","New York City",NA,"172","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","36",NA,"Not Assistant",NA
"Cavendish, Mrs. Julia Florence (née Siegel)",25,"London, England, UK","Southampton","New York City","6",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","25",NA,"Not Assistant",NA
"and maid, Miss Ellen ""Nellie"" Barber",26,"London, England, UK","Southampton","New York City","6",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","26","maid","Assistant","Cavendish, Mrs. Julia Florence (née Siegel)"
"Chaffee, Mr. Hubert Fuller",46,"Amenia, North Dakota, US","Southampton","Amenia, North Dakota, US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","46",NA,"Not Assistant",NA
"Chaffee, Mrs. Carrie Constance (née Toogood)",47,"Amenia, North Dakota, US","Southampton","Amenia, North Dakota, US","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","47",NA,"Not Assistant",NA
"Chambers, Mr. Norman Campbell",27,"New York City","Southampton","New York City","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","27",NA,"Not Assistant",NA
"Chambers, Mrs. Bertha (née Griggs)",32,"New York City","Southampton","New York City","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","32",NA,"Not Assistant",NA
"Cherry, Miss Gladys",30,"London, England, UK","Southampton","Vancouver, British Columbia, Canada","8",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","30",NA,"Not Assistant",NA
"Chevré, Mr. Paul Romaine Marie Léonce",45,"Paris, France","Cherbourg","Ottawa, Ontario, Canada","7",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","45",NA,"Not Assistant",NA
"Chibnall, Mrs. Edith Martha Bowerman (née Barber)",48,"St. Leonards-on-Sea, East Sussex, England, UK","Southampton","New York City","6",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","48",NA,"Not Assistant",NA
"Chisholm, Mr. Roderick Robert Crispin",40,"Belfast, Ireland","Belfast","New York City",NA,NA,"First",NA,NA,NA,NA,"Perished","Draughtsman","Guarantee group","Crew","Male","40",NA,"Not Assistant",NA
"Clark, Mr. Walter Miller",27,"Los Angeles, California, US","Cherbourg","Los Angeles, California, US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","27",NA,"Not Assistant",NA
"Clark, Mrs. Virginia Estelle (née McDowell)",26,"Los Angeles, California, US","Cherbourg","Los Angeles, California, US","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","26",NA,"Not Assistant",NA
"Clifford, Mr. George Quincy",40,"Stoughton, Massachusetts, US","Southampton","Stoughton, Massachusetts",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","40",NA,"Not Assistant",NA
"Colley, Mr. Edward Pomeroy",37,"Dublin, Ireland, UK","Southampton","Vancouver, British Columbia, Canada",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","37",NA,"Not Assistant",NA
"Compton, Mrs. Mary Eliza (née Ingersoll)",64,"Lakewood, New Jersey, US","Cherbourg","Lakewood, New Jersey, US","14",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","64",NA,"Not Assistant",NA
"Compton, Miss Sara Rebecca",39,"Lakewood, New Jersey, US","Cherbourg","Lakewood, New Jersey, US","14",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","39",NA,"Not Assistant",NA
"Compton, Mr. Alexander Taylor Jr.",37,"Lakewood, New Jersey, US","Cherbourg","Lakewood, New Jersey, US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","37",NA,"Not Assistant",NA
"Cornell, Mrs. Malvina Helen (née Lamson)",55,"New York City","Southampton","New York City","2",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","55",NA,"Not Assistant",NA
"Crafton, Mr. John Bertram",59,"Roachdale, Indiana, US","Southampton","Roachdale, Indiana, US",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","59",NA,"Not Assistant",NA
"Crosby, Captain Edward",70,"Milwaukee, Wisconsin, US","Southampton","Milwaukee, Wisconsin, US",NA,"269","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","70",NA,"Not Assistant",NA
"Crosby, Mrs. Catherine Elizabeth (née Halstead)",64,"Milwaukee, Wisconsin, US","Southampton","Milwaukee, Wisconsin, US","7",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","64",NA,"Not Assistant",NA
"Crosby, Miss Harriette Rebecca",39,"Milwaukee, Wisconsin, US","Southampton","Milwaukee, Wisconsin, US","7",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","39",NA,"Not Assistant",NA
"Cumings, Mr. John Bradley",39,"New York City","Cherbourg","New York City",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","39",NA,"Not Assistant",NA
"Cumings, Mrs. Florence Briggs (née Thayer)",35,"New York City","Cherbourg","New York, US","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","35",NA,"Not Assistant",NA
"Daly, Mr. Peter Dennis",51,"Lima, Peru","Southampton","Lima, Peru","A",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","51",NA,"Not Assistant",NA
"Daniel, Mr. Robert Williams",27,"Philadelphia, Pennsylvania, US","Southampton","Philadelphia, Pennsylvania, US","3",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","27",NA,"Not Assistant",NA
"Davidson, Mr. Thornton",31,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","31",NA,"Not Assistant",NA
"Davidson, Mrs. Orian (née Hays)",27,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada","3",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","27",NA,"Not Assistant",NA
"Dick, Mr. Albert Adrian",31,"Calgary, Alberta, Canada","Southampton","Calgary, Alberta, Canada","3",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","31",NA,"Not Assistant",NA
"Dick, Mrs. Vera (née Gillespie)",17,"Calgary, Alberta, Canada","Southampton","Calgary, Alberta, Canada","3",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","17",NA,"Not Assistant",NA
"Dineston, Mrs. Nancy May Bowles",28,"London, England, UK","Southampton","New York City, USA","11",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","28",NA,"Not Assistant",NA
"Dineston, George Samuel",30,"London, England, UK","Southampton","New York City, USA","11",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Dodge, Dr. Washington",52,"San Francisco, California, US","Southampton","San Francisco, California, US","13",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","52",NA,"Not Assistant",NA
"Dodge, Mrs. Ruth (née Vidaver)",34,"San Francisco, California, US","Southampton","San Francisco, California, US","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","34",NA,"Not Assistant",NA
"Dodge, Master Washington, Jr.",4,"San Francisco, California, US","Southampton","San Francisco, California, US","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","4",NA,"Not Assistant",NA
"Douglas, Mr. Walter Donald",50,"Minneapolis, Minnesota, US","Cherbourg","Minneapolis, Minnesota, US",NA,"62","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","50",NA,"Not Assistant",NA
"Douglas, Mrs. Mahala (née Dutton)",48,"Minneapolis, Minnesota, US","Cherbourg","Minneapolis, Minnesota, US","2",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","48",NA,"Not Assistant",NA
"and maid, Miss Berthe Leroy",27,"Minneapolis, Minnesota, US","Cherbourg","Minneapolis, Minnesota, US","2",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","27","maid","Assistant","Douglas, Mrs. Mahala (née Dutton)"
"Douglas, Mrs. Mary Hélène (née Baxter)",27,"Montreal, Quebec, Canada","Cherbourg","Montreal, Quebec, Canada","6",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","27",NA,"Not Assistant",NA
"Duff Gordon, Sir Cosmo Edmund",49,"London, England, UK","Cherbourg","New York City","1",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","49",NA,"Not Assistant",NA
"Duff Gordon, Lucy Christiana, Lady (née Sutherland)",48,"London, England, UK","Cherbourg","New York City","1",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","48",NA,"Not Assistant",NA
"and secretary, Miss Laura Mabel Francatelli",31,"London, England, UK","Cherbourg","New York City","1",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","31","secretary","Assistant","Duff Gordon, Lucy Christiana, Lady (née Sutherland)"
"Dulles, Mr. William Crothers",39,"Philadelphia, Pennsylvania, US","Cherbourg","Philadelphia, Pennsylvania, US",NA,"133","First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","39",NA,"Not Assistant",NA
"Eustis, Miss Elizabeth Mussey",54,"Brookline, Massachusetts, US","Cherbourg","Brookline, Massachusetts, US","4",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","54",NA,"Not Assistant",NA
"Evans, Miss Edith Corse",36,"New York City","Cherbourg","New York City",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","36",NA,"Not Assistant",NA
"Flegenheim, Mrs. Antoinette (née Wendt)",48,"New York City","Cherbourg","New York City","7",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","48",NA,"Not Assistant",NA
"Flynn, Mr. John Irwin",36,"Brooklyn, New York, US","Southampton","Brooklyn, New York, US","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","36",NA,"Not Assistant",NA
"Foreman, Mr. Benjamin Laventall",30,"New York City","Southampton","New York City",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Fortune, Mr. Mark",64,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","64",NA,"Not Assistant",NA
"Fortune, Mrs. Mary (née McDougald)",60,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada","10",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","60",NA,"Not Assistant",NA
"Fortune, Miss Ethel Flora",28,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada","10",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","28",NA,"Not Assistant",NA
"Fortune, Miss Alice Elizabeth",24,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada","10",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"Fortune, Miss Mabel Helen",23,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada","10",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","23",NA,"Not Assistant",NA
"Fortune, Mr. Charles Alexander",19,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","19",NA,"Not Assistant",NA
"Franklin, Mr. Thomas Parnham",37,"London, England, UK","Southampton","New York City",NA,NA,"First",NA,NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","37",NA,"Not Assistant",NA
"Frauenthal, Dr. Henry William",49,"London, England, UK","Southampton","New York City","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","49",NA,"Not Assistant",NA
"Frauenthal, Mrs. Clara (née Heinsheimer)",42,"London, England, UK","Southampton","New York City","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","42",NA,"Not Assistant",NA
"Frauenthal, Mr. Isaac Gerald",43,"London, England, UK","Southampton","New York City","5",NA,"First",NA,NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","43",NA,"Not Assistant",NA
