"name","age","hometown","boarded","destination","lifeboat","body","class","homecountry","survivaloutcome","position","crew","sex","agecharacter"
"and nurse, Miss Caroline Louise Endres",39,"New York City","Cherbourg","New York City","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","39"
"Aubart, Mrs. Léontine Pauline",24,"Paris, France","Cherbourg","New York City","9",NA,"First",NA,"Survived",NA,"Not Crew","Female","24"
"and maid, Miss Emma Sägesser",24,"Paris, France","Cherbourg","New York City","9",NA,"First",NA,"Survived",NA,"Not Crew","Female","24"
"Barkworth, Mr. Algernon Henry Wilson",47,"Hessle, East Yorkshire, England, UK","Southampton","New York City","B",NA,"First",NA,"Survived",NA,"Not Crew","Male","47"
"Baumann, Mr. John D.",60,"New York City","Cherbourg","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","60"
"Baxter, Mrs. Hélène (née de Lanaudière-Chaput)",50,"Montreal, Quebec, Canada","Cherbourg","Montreal, Quebec, Canada","6",NA,"First",NA,"Survived",NA,"Not Crew","Female","50"
"Baxter, Mr. Quigg Edmond",24,"Montreal, Quebec, Canada","Cherbourg","Montreal, Quebec, Canada",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","24"
"Beattie, Mr. Thomson",36,"Fergus, Ontario, Canada","Southampton","Fergus, Ontario, Canada","A","331","First",NA,"Perished",NA,"Not Crew","Male","36"
"Beckwith, Mr. Richard Leonard",37,"New York City","Southampton","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","37"
"Beckwith, Mrs. Sallie (née Monypeny)",46,"New York City","Southampton","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Female","46"
"Behr, Mr. Karl Howell",26,"New York City","Cherbourg","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","26"
"Birnbaum, Mr. Jakob",24,"Antwerp, Belgium","Cherbourg","San Francisco, California, US",NA,"148","First",NA,"Perished",NA,"Not Crew","Male","24"
"Bishop, Mr. Dickinson H. ""Dick""",25,"Dowagiac, Michigan, US","Cherbourg","Dowagiac, Michigan, US","7",NA,"First",NA,"Survived",NA,"Not Crew","Male","25"
"Bishop, Mrs. Helen (née Walton)",19,"Dowagiac, Michigan, US","Cherbourg","Dowagiac, Michigan, US","7",NA,"First",NA,"Survived",NA,"Not Crew","Female","19"
"Björnström-Steffanson, Mr. Mauritz Håkan",28,"Stockholm, Sweden","Southampton","Washington, D.C., US","D",NA,"First",NA,"Survived",NA,"Not Crew","Male","28"
"Blackwell, Mr. Stephen Weart",45,"Trenton, New Jersey, US","Southampton","Trenton, New Jersey, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","45"
"Blank, Mr. Henry",39,"Glen Ridge, New Jersey, US","Cherbourg","Glen Ridge, New Jersey, US","7",NA,"First",NA,"Survived",NA,"Not Crew","Male","39"
"Bonnell, Miss Elizabeth",61,"Youngstown, Ohio, US","Southampton","Youngstown, Ohio, US","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","61"
"Bonnell, Miss Caroline",30,"Youngstown, Ohio, US","Southampton","Youngstown, Ohio, US","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","30"
"Borebank, Mr. John James",42,"London, England, UK","Southampton","Toronto, Ontario, Canada",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","42"
"Bowerman, Miss Elsie Edith",22,"St. Leonards-on-Sea, East Sussex, England, UK","Southampton","New York City","6",NA,"First",NA,"Survived",NA,"Not Crew","Female","22"
"Brady, Mr. John Bertram",41,"Pomeroy, Washington, US","Southampton","Pomeroy, Washington, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","41"
"Brandeis, Mr. Emil",48,"Omaha, Nebraska, US","Cherbourg","Omaha, Nebraska, US",NA,"208","First",NA,"Perished",NA,"Not Crew","Male","48"
"Brereton, Mr. George Andrew (alias George A. Brayton)",37,"Los Angeles, US","Southampton","Los Angeles, California, US","9",NA,"First",NA,"Survived",NA,"Not Crew","Male","37"
"Brewe, Dr. Arthur Jackson",45,"Philadelphia, Pennsylvania, US","Cherbourg","Philadelphia, Pennsylvania, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","45"
"Brown, Mrs. Caroline Lane (née Lamson)",59,"Belmont, Massachusetts, US","Southampton","Belmont, Massachusetts, US","D",NA,"First",NA,"Survived",NA,"Not Crew","Female","59"
"Brown, Mrs. Margaret (née Tobin)",44,"Denver, Colorado, US","Cherbourg","Denver, Colorado, US","6",NA,"First",NA,"Survived",NA,"Not Crew","Female","44"
"Bucknell, Mrs. Emma Eliza (née Ward)",59,"Philadelphia, Pennsylvania, US","Cherbourg","Philadelphia, Pennsylvania, US","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","59"
"and maid, Miss Albina Bazzani",36,"Philadelphia, Pennsylvania, US","Cherbourg","Philadelphia, Pennsylvania, US","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","36"
"Butt, Major Archibald Willingham",46,"Washington, D.C., US","Southampton","Washington, D.C., US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","46"
"Calderhead, Mr. Edward Pennington",42,"New York City","Southampton","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","42"
"Candee, Mrs. Helen Churchill (née Hungerford)",53,"Washington, D.C., US","Cherbourg","Washington, D.C., US","6",NA,"First",NA,"Survived",NA,"Not Crew","Female","53"
"Cardeza, Mrs. Charlotte Wardle (née Drake)",58,"Germantown, Pennsylvania, US","Cherbourg","Germantown, Pennsylvania, US","3",NA,"First",NA,"Survived",NA,"Not Crew","Female","58"
"and maid, Miss Annie Moore Ward",38,"Germantown, Pennsylvania, US","Cherbourg","Germantown, Pennsylvania, US","3",NA,"First",NA,"Survived",NA,"Not Crew","Female","38"
"Cardeza, Mr. Thomas Drake Martinez",36,"Germantown, Pennsylvania, US","Cherbourg","Germantown, Pennsylvania, US","3",NA,"First",NA,"Survived",NA,"Not Crew","Male","36"
"and valet, Mr. Gustave J. Lesueur",35,"Germantown, Pennsylvania, US","Cherbourg","Germantown, Pennsylvania, US","3",NA,"First",NA,"Survived",NA,"Not Crew","Male","35"
"Carlsson, Mr. Frans Olof",33,"New York City","Southampton","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","33"
"Carrau, Mr. Francisco M.",31,"Montevideo, Uruguay","Southampton","Montevideo, Uruguay",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","31"
"Carrau, Mr. José Pedro",17,"Montevideo, Uruguay","Southampton","Montevideo, Uruguay",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","17"
"Carter, Mr. William Ernest",36,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US","C",NA,"First",NA,"Survived",NA,"Not Crew","Male","36"
"and valet, Mr. Alexander Cairns",28,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","28"
"and chauffeur, Mr. Charles Augustus Aldworth",30,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","30"
"Carter, Mrs. Lucile (née Polk)",36,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","36"
"and maid, Miss Auguste Serreplan",30,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","30"
"Carter, Miss Lucile Polk",13,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","13"
"Carter, Master William Thornton II",11,"Bryn Mawr, Pennsylvania, US","Southampton","Bryn Mawr, Pennsylvania, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Male","11"
"Case, Mr. Howard Brown",49,"Ascot, Berkshire, England, UK","Southampton","Rochester, New York, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","49"
"Cassebeer, Mrs. Eleanor Genevieve (née Fosdick)",36,"New York City","Cherbourg","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Female","36"
"Cavendish, Mr. Tyrell William",36,"London, England, UK","Southampton","New York City",NA,"172","First",NA,"Perished",NA,"Not Crew","Male","36"
"Cavendish, Mrs. Julia Florence (née Siegel)",25,"London, England, UK","Southampton","New York City","6",NA,"First",NA,"Survived",NA,"Not Crew","Female","25"
"and maid, Miss Ellen ""Nellie"" Barber",26,"London, England, UK","Southampton","New York City","6",NA,"First",NA,"Survived",NA,"Not Crew","Female","26"
"Chaffee, Mr. Hubert Fuller",46,"Amenia, North Dakota, US","Southampton","Amenia, North Dakota, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","46"
"Chaffee, Mrs. Carrie Constance (née Toogood)",47,"Amenia, North Dakota, US","Southampton","Amenia, North Dakota, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","47"
"Chambers, Mr. Norman Campbell",27,"New York City","Southampton","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","27"
"Chambers, Mrs. Bertha (née Griggs)",32,"New York City","Southampton","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Female","32"
"Cherry, Miss Gladys",30,"London, England, UK","Southampton","Vancouver, British Columbia, Canada","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","30"
"Chevré, Mr. Paul Romaine Marie Léonce",45,"Paris, France","Cherbourg","Ottawa, Ontario, Canada","7",NA,"First",NA,"Survived",NA,"Not Crew","Male","45"
"Chibnall, Mrs. Edith Martha Bowerman (née Barber)",48,"St. Leonards-on-Sea, East Sussex, England, UK","Southampton","New York City","6",NA,"First",NA,"Survived",NA,"Not Crew","Female","48"
"Chisholm, Mr. Roderick Robert Crispin",40,"Belfast, Ireland","Belfast","New York City",NA,NA,"First",NA,"Perished","Draughtsman","Crew","Male","40"
"Clark, Mr. Walter Miller",27,"Los Angeles, California, US","Cherbourg","Los Angeles, California, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","27"
"Clark, Mrs. Virginia Estelle (née McDowell)",26,"Los Angeles, California, US","Cherbourg","Los Angeles, California, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","26"
"Clifford, Mr. George Quincy",40,"Stoughton, Massachusetts, US","Southampton","Stoughton, Massachusetts",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","40"
"Colley, Mr. Edward Pomeroy",37,"Dublin, Ireland, UK","Southampton","Vancouver, British Columbia, Canada",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","37"
"Compton, Mrs. Mary Eliza (née Ingersoll)",64,"Lakewood, New Jersey, US","Cherbourg","Lakewood, New Jersey, US","14",NA,"First",NA,"Survived",NA,"Not Crew","Female","64"
"Compton, Miss Sara Rebecca",39,"Lakewood, New Jersey, US","Cherbourg","Lakewood, New Jersey, US","14",NA,"First",NA,"Survived",NA,"Not Crew","Female","39"
"Compton, Mr. Alexander Taylor Jr.",37,"Lakewood, New Jersey, US","Cherbourg","Lakewood, New Jersey, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","37"
"Cornell, Mrs. Malvina Helen (née Lamson)",55,"New York City","Southampton","New York City","2",NA,"First",NA,"Survived",NA,"Not Crew","Female","55"
"Crafton, Mr. John Bertram",59,"Roachdale, Indiana, US","Southampton","Roachdale, Indiana, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","59"
"Crosby, Captain Edward",70,"Milwaukee, Wisconsin, US","Southampton","Milwaukee, Wisconsin, US",NA,"269","First",NA,"Perished",NA,"Not Crew","Male","70"
"Crosby, Mrs. Catherine Elizabeth (née Halstead)",64,"Milwaukee, Wisconsin, US","Southampton","Milwaukee, Wisconsin, US","7",NA,"First",NA,"Survived",NA,"Not Crew","Female","64"
"Crosby, Miss Harriette Rebecca",39,"Milwaukee, Wisconsin, US","Southampton","Milwaukee, Wisconsin, US","7",NA,"First",NA,"Survived",NA,"Not Crew","Female","39"
"Cumings, Mr. John Bradley",39,"New York City","Cherbourg","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","39"
"Cumings, Mrs. Florence Briggs (née Thayer)",35,"New York City","Cherbourg","New York, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","35"
"Daly, Mr. Peter Dennis",51,"Lima, Peru","Southampton","Lima, Peru","A",NA,"First",NA,"Survived",NA,"Not Crew","Male","51"
"Daniel, Mr. Robert Williams",27,"Philadelphia, Pennsylvania, US","Southampton","Philadelphia, Pennsylvania, US","3",NA,"First",NA,"Survived",NA,"Not Crew","Male","27"
"Davidson, Mr. Thornton",31,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","31"
"Davidson, Mrs. Orian (née Hays)",27,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada","3",NA,"First",NA,"Survived",NA,"Not Crew","Female","27"
"Dick, Mr. Albert Adrian",31,"Calgary, Alberta, Canada","Southampton","Calgary, Alberta, Canada","3",NA,"First",NA,"Survived",NA,"Not Crew","Male","31"
"Dick, Mrs. Vera (née Gillespie)",17,"Calgary, Alberta, Canada","Southampton","Calgary, Alberta, Canada","3",NA,"First",NA,"Survived",NA,"Not Crew","Female","17"
"Dineston, Mrs. Nancy May Bowles",28,"London, England, UK","Southampton","New York City, USA","11",NA,"First",NA,"Survived",NA,"Not Crew","Female","28"
"Dineston, George Samuel",30,"London, England, UK","Southampton","New York City, USA","11",NA,"First",NA,"Survived",NA,"Not Crew","Male","30"
"Dodge, Dr. Washington",52,"San Francisco, California, US","Southampton","San Francisco, California, US","13",NA,"First",NA,"Survived",NA,"Not Crew","Male","52"
"Dodge, Mrs. Ruth (née Vidaver)",34,"San Francisco, California, US","Southampton","San Francisco, California, US","5",NA,"First",NA,"Survived",NA,"Not Crew","Female","34"
"Dodge, Master Washington, Jr.",4,"San Francisco, California, US","Southampton","San Francisco, California, US","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","4"
"Douglas, Mr. Walter Donald",50,"Minneapolis, Minnesota, US","Cherbourg","Minneapolis, Minnesota, US",NA,"62","First",NA,"Perished",NA,"Not Crew","Male","50"
"Douglas, Mrs. Mahala (née Dutton)",48,"Minneapolis, Minnesota, US","Cherbourg","Minneapolis, Minnesota, US","2",NA,"First",NA,"Survived",NA,"Not Crew","Female","48"
"and maid, Miss Berthe Leroy",27,"Minneapolis, Minnesota, US","Cherbourg","Minneapolis, Minnesota, US","2",NA,"First",NA,"Survived",NA,"Not Crew","Female","27"
"Douglas, Mrs. Mary Hélène (née Baxter)",27,"Montreal, Quebec, Canada","Cherbourg","Montreal, Quebec, Canada","6",NA,"First",NA,"Survived",NA,"Not Crew","Female","27"
"Duff Gordon, Sir Cosmo Edmund",49,"London, England, UK","Cherbourg","New York City","1",NA,"First",NA,"Survived",NA,"Not Crew","Male","49"
"Duff Gordon, Lucy Christiana, Lady (née Sutherland)",48,"London, England, UK","Cherbourg","New York City","1",NA,"First",NA,"Survived",NA,"Not Crew","Female","48"
"and secretary, Miss Laura Mabel Francatelli",31,"London, England, UK","Cherbourg","New York City","1",NA,"First",NA,"Survived",NA,"Not Crew","Female","31"
"Dulles, Mr. William Crothers",39,"Philadelphia, Pennsylvania, US","Cherbourg","Philadelphia, Pennsylvania, US",NA,"133","First",NA,"Perished",NA,"Not Crew","Male","39"
"Eustis, Miss Elizabeth Mussey",54,"Brookline, Massachusetts, US","Cherbourg","Brookline, Massachusetts, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","54"
"Evans, Miss Edith Corse",36,"New York City","Cherbourg","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Female","36"
"Flegenheim, Mrs. Antoinette (née Wendt)",48,"New York City","Cherbourg","New York City","7",NA,"First",NA,"Survived",NA,"Not Crew","Female","48"
"Flynn, Mr. John Irwin",36,"Brooklyn, New York, US","Southampton","Brooklyn, New York, US","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","36"
"Foreman, Mr. Benjamin Laventall",30,"New York City","Southampton","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","30"
"Fortune, Mr. Mark",64,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","64"
"Fortune, Mrs. Mary (née McDougald)",60,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada","10",NA,"First",NA,"Survived",NA,"Not Crew","Female","60"
"Fortune, Miss Ethel Flora",28,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada","10",NA,"First",NA,"Survived",NA,"Not Crew","Female","28"
"Fortune, Miss Alice Elizabeth",24,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada","10",NA,"First",NA,"Survived",NA,"Not Crew","Female","24"
"Fortune, Miss Mabel Helen",23,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada","10",NA,"First",NA,"Survived",NA,"Not Crew","Female","23"
"Fortune, Mr. Charles Alexander",19,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","19"
"Franklin, Mr. Thomas Parnham",37,"London, England, UK","Southampton","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","37"
"Frauenthal, Dr. Henry William",49,"London, England, UK","Southampton","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","49"
"Frauenthal, Mrs. Clara (née Heinsheimer)",42,"London, England, UK","Southampton","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Female","42"
"Frauenthal, Mr. Isaac Gerald",43,"London, England, UK","Southampton","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","43"
"Frölicher, Mr. Maximilian Josef",60,"Zürich, Switzerland","Cherbourg","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","60"
"Frölicher, Mrs. Margaretha Emerentia (née Stehli)",48,"Zürich, Switzerland","Cherbourg","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Female","48"
"Frölicher-Stehli, Miss Hedwig Margaritha",22,"Zürich, Switzerland","Cherbourg","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Female","22"
"Futrelle, Mr. Jacques Heath",37,"Scituate, Massachusetts, US","Southampton","Scituate, Massachusetts, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","37"
"Futrelle, Mrs. Lily May (née Peel)",35,"Scituate, Massachusetts, US","Southampton","Scituate, Massachusetts, US","D",NA,"First",NA,"Survived",NA,"Not Crew","Female","35"
"Gee, Mr. Arthur H.",47,"St. Annes-on-Sea, Lancashire, England, UK","Southampton","Mexico City, Mexico",NA,"275","First",NA,"Perished",NA,"Not Crew","Male","47"
"Gibson, Mrs. Pauline Caroline (née Boeson)",44,"New York City","Cherbourg","New York City","7",NA,"First",NA,"Survived",NA,"Not Crew","Female","44"
"Gibson, Miss Dorothy Winifred",22,"New York City","Cherbourg","New York City","7",NA,"First",NA,"Survived",NA,"Not Crew","Female","22"
"Goldenberg, Mr. Samuel L.",47,"Paris, France","Cherbourg","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","47"
"Goldenberg, Mrs. Nella (née Wiggins)",40,"Paris, France","Cherbourg","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Female","40"
"Goldschmidt, Mr. George B.",71,"New York City","Cherbourg","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","71"
"Gracie IV, Colonel Archibald",53,"Washington, D.C., US","Southampton","Washington, D.C., US","B",NA,"First",NA,"Survived",NA,"Not Crew","Male","53"
"Graham, Mr. George Edward",38,"Winnipeg, Manitoba, Canada","Southampton","Winnipeg, Manitoba, Canada",NA,"147","First",NA,"Perished",NA,"Not Crew","Male","38"
"Graham, Mrs. Edith Ware (née Junkins)",59,"Greenwich, Connecticut, US","Southampton","Greenwich, Connecticut, US","3",NA,"First",NA,"Survived",NA,"Not Crew","Female","59"
"Graham, Miss Margaret Edith",19,"Greenwich, Connecticut, US","Southampton","Greenwich, Connecticut, US","3",NA,"First",NA,"Survived",NA,"Not Crew","Female","19"
"and governess, Miss Elizabeth Weed Shutes",40,"Greenwich, Connecticut, US","Southampton","Greenwich, Connecticut, US","3",NA,"First",NA,"Survived",NA,"Not Crew","Female","40"
"Greenfield, Mrs. Blanche (née Strouse)",45,"New York City","Cherbourg","New York City","7",NA,"First",NA,"Survived",NA,"Not Crew","Female","45"
"Greenfield, Mr. William Bertram",23,"New York City","Cherbourg","New York City","7",NA,"First",NA,"Survived",NA,"Not Crew","Male","23"
"Guggenheim, Mr. Benjamin",46,"Paris, France","Cherbourg","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","46"
"and valet, Mr. Victor Giglio",24,"Paris, France","Cherbourg","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","24"
"and chauffeur, Mr. René Pernot",39,"Paris, France","Cherbourg","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","39"
"Harder, Mr. George Achilles",25,"New York City","Cherbourg","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Male","25"
"Harder, Mrs. Dorothy (née Annan)",21,"New York City","Cherbourg","New York City","5",NA,"First",NA,"Survived",NA,"Not Crew","Female","21"
"Harper, Mr. Henry Sleeper",48,"New York City","Cherbourg","New York City","3",NA,"First",NA,"Survived",NA,"Not Crew","Male","48"
"and dragoman, Mr. Hammad Hassab",27,"Cairo, Egypt","Cherbourg","New York City","3",NA,"First",NA,"Survived",NA,"Not Crew","Male","27"
"Harper, Mrs. Myna (née Haxtun)",49,"New York City","Cherbourg","New York City","3",NA,"First",NA,"Survived",NA,"Not Crew","Female","49"
"Harris, Mr. Henry Birkhardt",45,"New York City","Southampton","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","45"
"Harris, Mrs. Irene (née Wallach)",35,"New York City","Southampton","New York City","D",NA,"First",NA,"Survived",NA,"Not Crew","Female","35"
"Hawksford, Mr. Walter James",45,"Kingston, Surrey, England, UK","Southampton","New York City","3",NA,"First",NA,"Survived",NA,"Not Crew","Male","45"
"Hays, Mr. Charles Melville",55,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,"307","First",NA,"Perished",NA,"Not Crew","Male","55"
"and clerk, Mr. Vivian Ponsonby Payne",22,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","22"
"Hays, Mrs. Clara Jennings (née Grigg)",52,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada","3",NA,"First",NA,"Survived",NA,"Not Crew","Female","52"
"and maid, Miss Mary Anne Perreault",33,"Montreal, Quebec, Canada","Southampton","Montreal, Quebec, Canada","3",NA,"First",NA,"Survived",NA,"Not Crew","Female","33"
"Hays, Miss Margaret Bechstein",24,"New York City","Cherbourg","New York City","7",NA,"First",NA,"Survived",NA,"Not Crew","Female","24"
"Head, Mr. Christopher",42,"Chelsea, London, England, UK","Southampton","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","42"
"Hilliard, Mr. Herbert Henry",44,"Brighton, Massachusetts, US","Southampton","Brighton, Massachusetts, US",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","44"
"Hipkins, Mr. William Edward",55,"Birmingham, West Midlands, England, UK","Southampton","New York City",NA,NA,"First",NA,"Perished",NA,"Not Crew","Male","55"
"Hippach, Mrs. Ida Sophia (née Fischer)",44,"Chicago, Illinois, US","Cherbourg","Chicago, Illinois, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","44"
"Hippach, Miss Jean Gertrude",17,"Chicago, Illinois, US","Cherbourg","Chicago, Illinois, US","4",NA,"First",NA,"Survived",NA,"Not Crew","Female","17"
"Hogeboom, Mrs. Anna Louisa (née Andrews)",51,"Hudson, New York, US","Cherbourg","Hudson, New York, US","10",NA,"First",NA,"Survived",NA,"Not Crew","Female","51"
"Holverson, Mr. Alexander Oskar",42,"New York City","Southampton","New York City",NA,"38","First",NA,"Perished",NA,"Not Crew","Male","42"
"Holverson, Mrs. Mary Aline (née Towner)",35,"New York City","Southampton","New York City","8",NA,"First",NA,"Survived",NA,"Not Crew","Female","35"
"Homer, Mr. Harry (alias E. Haven)",40,"Indianapolis, Indiana, US","Southampton","Indianapolis, Indiana, US","15",NA,"First",NA,"Survived",NA,"Not Crew","Male","40"
"Hoyt, Mr. Frederick Maxfield",35,"New York City","Southampton","Stamford, Connecticut, US","D",NA,"First",NA,"Survived",NA,"Not Crew","Male","35"
"Hoyt, Mrs. Jane Anne (née Forby)",31,"New York City","Southampton","Stamford, Connecticut, US","D",NA,"First",NA,"Survived",NA,"Not Crew","Female","31"
